Name                          Description                                                                  URL
----------------------------  ---------------------------------------------------------------------------  --------------------------------------
Get  Started 🌱                Welcome to the Optimism Collective governance forum!                         /c/get-started/67
Mission  Grants  🏹            How to get a grant from the Governance Fund and keep up with key info!       /c/mission-grants/69
Delegates  🏛                  Info and discussions on voting, delegation, and the Token House              /c/delegates/41
Retro  Funding 🔴              Retroactive Public Goods Funding rounds information can be found here.       /c/retrofunding/46
Citizens  👥                   This category is for all things relating to Citizens!                        /c/citizens/79
Elected  Representatives 💼    This category is for any Elected Representative Structure (i.e., councils).  /c/elected-reps/83
Technical  Proposals 📃        Discuss non-grant related structural, or technical, governance proposals.    /c/technical-proposals/47
Policies  and Templates 📌     Find governance policies and proposal templates here                         /c/policies-and-important-documents/49
Collective  Strategy 🧭        This category is for Collective Strategy relating to intents and roadmaps.   /c/collective-strategy/81
Updates  and Announcements 📢                                                                               /c/updates-and-announcements/48
Governance  Design 📐          This category is for the Collective’s metagovernance strategy!               /c/gov-design/84
Feedback  💬                   This category is for feedback threads on specific topics!                    /c/feedback/82
Accountability  🗂️            This category is for posts that increase transparency and accountability.    /c/accountability/62
✨ General                                                                                                  /c/general/1
ARCHIVED  & OLD Missions      This category has been deprecated and replaced by “Mission Requests”.        /c/archived-old-missions/63
